Экономика,Образование,Здоровье,Экология,Социальная сфера,Местное развитие,Городская среда,Культура
Прямой вклад в экономическое развитие как поставщика услуг,Расширение возможностей получения знаний (по сферам/отраслям знаний),Мотивация активного времяпровождения,"Формирование отношения к бережливости, уважения к наследию, созданному помимо тебя, включая природу",Услуги для людей с ограниченными возможностями,Консолидация сообщества,Городская реновация,"чувство связи с прошлым (история, наследие, идентичность)"
Прямой и косвенный вклад в занятость,Развитие когнитивных способностей,"Влияние на психическое самочувствие, психологическую реабилитацию","Экологическая осведомленность / Повышение экологических знаний, осведомленность об экологических проблемах",«Точка» формирования соц. Ответственности,"Формирование гордости, уважительного отношения к месту проживания",Привлекательность региона,уважение к разнообразию и непохожести
Повышение привлекательности для туристов (иностранных и из других регионов),Влияние на уровень грамотности и успеваемость молодежи,Воздействие на отношение к своему здоровью,Формирование отношения к разнообразию,Система услуг для пожилых / для людей с ограниченными возможностями,"Развитие гражданского участия, вовлечённости, ответственности, местного политического процесса",Доступность среды,опыт переживания эстетического удовольствия
"Вклад в креативную экономику, творческие навыки предпринимателей",Поощрение взрослых использовать возможности образования и профессиональной подготовки на протяжении всей жизни,Мотивация путешествий и активного времяпровождения,Позитивное ощущение места,Снижение стигматизации и маргинализации,"Привлекательность «точки» культуры для творческих людей и профессий, влияние на состав населения и за счёт этого на благополучие территории",Эстетические качества среды,"выражение общих смыслов (включая духовную, трансперсональную связь)"
Влияние на малый ремесленный бизнес,,,Позитивная связь с миром природы,Равенство возможностей,Изменение благополучия локального сообщества / рост социального капитала,Освоенность общественных зон,стимуляция креативности
"Спрос на инженерно-технические решения и инновационные технологии (климатическая техника, охранная техника и безопасность, освещение, системы хранения, противодействие правонарушениям в сфере культуры)",,,Экологичные привычки и поведение,Помощь правонарушителям и потерпевшим в решении проблемы преступности,"Чувство принадлежности, причастности, вовлеченности",Безопасность среды,возможность творческого или символического самовыражения
Влияние на стоимость близлежащей недвижимости,,,Снижение антропогенного воздействия,"Альтернативная сфера досуга, сужающая «пространство» для асоциальной и противоправной деятельности",Содействие развитию партнерства,Вовлечение местных жителей в процесс возрождения территорий,"развитие сообщества художников, креативных индустрий,"
Влияние на защиту авторских прав и историческую доказательность,,,Зеленый менеджмент и девелопмент среды,,"Уменьшение изоляции, через обретение новых дружеских связей",Вызов традиционному способу предоставления услуг,возможности самовыражения членов локального сообщества через вовлечение в творческие практики
Конкурентоспособность региона,,,,,Развитие контактов между поколениями,Содействие созданию более спокойной атмосферы в медицинских центрах,практики рефлексии
,,,,,,Помощь в изменении имиджа общественных организаций или государственных органов,
